@RELATION DDO101

@attribute R REAL
@attribute V_tot REAL
@attribute V_adc REAL
@attribute V_err REAL
@attribute V_gas REAL
@attribute V_star REAL

@data
0.26,30.43,30.59,2.82,1.23,4.27
0.52,41.67,41.91,2.18,2.32,7.15
0.77,48.91,49.40,2.20,3.49,9.07
1.03,54.46,55.53,2.04,5.12,10.79
1.29,58.23,60.06,2.23,7.04,12.21
1.55,59.00,61.21,2.22,9.11,12.72
1.80,60.55,62.32,2.13,10.03,12.53
2.06,62.37,63.65,2.50,9.72,12.09
2.32,62.74,64.92,2.10,9.90,11.69
