@relation 'DDO47'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.23000000,15.330000,15.360000,4.4800000,-1.0000000,3.7349699
0.44999999,19.870001,19.930000,3.9300001,-0.34999999,5.3768020
0.68000001,18.530001,18.660000,2.5100000,1.6700000,6.6693330
0.91000003,20.200001,20.389999,1.8099999,-2.2400000,7.7149205
1.1300000,19.940001,20.230000,2.619999,-4.1999998,8.6272821
1.3600000,20.299999,20.690001,2.1800001,-4.7199998,9.6566038
1.5900000,21.370001,21.860001,1.7200000,-2.7400000,10.836051
1.8200001,22.580000,23.170000,1.9500000,2.8499999,11.957006
2.0400000,23.070000,23.790001,2.0799999,6.5599999,13.034569
2.2700000,23.639999,24.500000,1.7900000,7.6999998,13.905754
2.5000000,26.639999,27.570000,1.8700000,7.4899998,14.663219
2.7200000,29.980000,30.969999,1.8000000,7.7300000,15.459625
2.9500000,34.410000,35.439999,2.0599999,11.240000,16.328810
3.1800001,38.029999,39.139999,1.8300000,14.760000,17.158089
3.4000001,42.919998,44.080002,1.6799999,16.660000,17.829189
3.6300001,47.270000,48.500000,1.8500000,17.230000,18.382328
3.8599999,51.910000,53.200001,2.1800001,17.150000,18.829763
4.0799999,55.520000,56.900002,2.5599999,18.010000,19.273558
4.3099999,57.049999,58.549999,2.4100001,18.750000,19.647646
4.5400000,58.520000,60.119999,2.1900001,19.650000,20.016493
4.7600002,60.509998,62.160000,2.0500000,20.389999,20.358046
4.9899998,62.060001,63.740002,2.1700001,20.990000,20.670509
5.2199998,61.779999,63.490002,2.2600000,21.139999,20.939198
5.4499998,60.869999,62.580002,2.3099999,21.760000,21.166719
5.6700001,60.889999,62.529999,2.2200000,22.010000,21.342680
5.9000001,60.150002,61.709999,2.3900001,21.709999,21.500000
6.1300001,60.029999,61.470001,2.3399999,21.049999,21.596296
6.3499999,61.709999,62.990002,2.1300001,20.660000,21.672794
6.5799999,61.419998,62.610001,2.0100000,20.320000,21.726942
6.8099999,63.160000,64.279999,1.9800000,19.950001,21.770622
7.0300002,63.450001,64.599998,2.0999999,19.610001,21.813070
7.2600002,60.650002,62.049999,2.0400000,19.170000,21.866184
7.4899998,59.869999,61.740002,2.2000000,19.389999,21.962467
7.7100000,62.020000,64.699997,2.1099999,20.490000,22.071022
