@relation 'DDO168'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.12,-1.61,3.33,2.51,2.78,0.95
0.24,2.26,4.93,3.66,6.98,2.17
0.36,5.09,7.62,2.07,11.70,3.45
0.48,10.79,12.78,2.12,14.85,4.65
0.60,17.77,19.46,2.98,16.47,5.88
0.73,24.06,25.67,2.94,17.38,6.79
0.85,26.58,28.35,2.34,18.19,7.42
0.97,29.32,31.22,2.57,19.71,7.76
1.09,32.28,34.26,3.25,20.78,8.13
1.21,35.90,37.91,3.72,20.50,8.38
1.33,38.56,40.63,4.79,20.31,8.50
1.45,42.59,44.64,4.29,20.39,8.60
1.57,45.97,48.02,3.95,19.47,8.71
1.69,48.80,50.87,4.21,19.09,8.80
1.81,51.13,53.22,4.00,19.15,8.82
1.93,53.68,55.78,4.40,19.30,8.81
2.06,56.93,59.01,5.07,19.54,8.89
2.18,58.27,60.39,4.28,19.46,8.93
2.30,59.02,61.20,4.08,19.71,8.91
2.42,59.69,61.92,4.11,19.69,8.90
2.54,59.33,61.65,4.55,19.22,8.83
2.66,59.18,61.57,4.58,19.03,8.77
2.78,57.96,60.47,4.08,19.44,8.76
2.90,58.89,61.42,4.01,19.78,8.68
3.02,58.78,61.37,4.93,19.59,8.63
3.14,57.67,60.35,5.41,19.56,8.52
3.26,55.93,58.75,5.22,19.70,8.38
3.39,55.94,58.82,4.99,20.30,8.26
3.51,52.96,56.06,4.79,20.42,8.26
3.63,48.12,51.62,4.64,20.44,8.46
3.75,47.15,50.86,4.33,20.60,8.59
3.87,44.46,48.58,4.63,20.68,8.68
3.99,42.69,47.26,5.00,20.86,8.81
