@relation 'DDO43'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.47000000,7.9899998,8.5600004,2.8900001,3.079999,7.9233832
0.93000001,18.290001,19.000000,2.3900001,5.3200002,10.877500
1.4000000,24.590000,25.629999,2.2500000,8.6199999,13.724067
1.8600000,28.820000,30.209999,2.0699999,14.120000,16.533300
2.3299999,32.959999,34.570000,2.2700000,16.370001,17.932373
2.7900000,33.830002,35.630001,2.5100000,16.719999,18.472954
3.2600000,36.070000,37.840000,2.6700001,17.110001,18.817810
3.7200000,36.490002,38.259998,2.8199999,17.610001,19.172636
4.1900001,31.090000,33.220001,2.8199999,18.420000,19.617340

