@relation 'NGC2366'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.12,4.98,5.46,2.17,1.94,1.14
0.23,8.57,9.11,2.40,3.07,2.28
0.35,10.47,11.10,1.98,3.16,3.44
0.46,12.11,12.81,2.42,2.60,4.45
0.58,13.58,14.35,3.01,4.41,5.17
0.69,16.03,16.81,3.60,5.19,5.91
0.81,17.92,18.73,3.17,4.50,6.33
0.92,21.66,22.44,2.89,6.10,6.70
1.04,24.65,25.44,2.54,5.76,7.13
1.15,27.05,27.87,2.61,5.92,7.48
1.27,29.84,30.69,4.12,8.42,7.68
1.38,31.39,32.30,4.61,12.42,7.94
1.50,32.55,33.53,4.23,15.66,8.14
1.62,33.60,34.66,3.79,15.74,8.40
1.73,37.21,38.28,3.70,15.05,8.61
1.85,39.63,40.74,3.60,14.88,8.67
1.96,40.34,41.54,3.85,16.06,8.84
2.08,41.36,42.64,3.63,17.98,8.98
2.19,42.19,43.56,3.59,18.71,8.96
2.31,42.75,44.21,4.12,18.68,8.97
2.42,44.05,45.58,3.58,19.69,9.12
2.54,45.69,47.26,3.30,21.24,9.22
2.65,47.37,48.99,3.43,21.42,9.32
2.77,48.67,50.34,3.29,22.61,9.44
2.88,49.20,50.94,3.35,23.08,9.55
3.00,49.58,51.39,3.33,23.57,9.62
3.12,49.17,51.07,3.57,24.33,9.72
3.23,49.49,51.45,3.58,24.46,9.80
3.35,49.82,51.83,3.43,24.33,9.86
3.46,50.99,53.01,3.52,24.58,9.86
3.58,51.09,53.16,3.57,24.69,9.86
3.69,51.91,53.99,3.83,24.42,9.92
3.81,53.36,55.42,4.21,24.53,9.91
3.92,53.19,55.29,3.93,24.51,9.83
4.04,53.40,55.52,3.97,24.77,9.77
4.15,53.05,55.21,3.42,25.27,9.70
4.27,52.51,54.71,3.15,25.46,9.59
4.38,52.32,54.55,3.16,25.38,9.42
4.50,53.25,55.46,3.47,24.89,9.28
4.62,53.04,55.27,3.29,24.59,9.13
4.73,53.51,55.74,3.56,24.66,8.95
4.85,52.70,54.98,3.31,24.83,8.77
4.96,52.49,54.80,3.27,25.18,8.64
5.08,53.65,55.93,3.31,25.33,8.54
5.19,54.51,56.78,3.57,25.61,8.38
5.31,54.86,57.15,3.36,25.94,8.24
5.42,55.86,58.15,3.42,25.78,8.16
5.54,56.55,58.86,3.07,25.77,8.11
5.65,56.08,58.46,3.59,25.75,8.06
5.77,56.58,59.00,3.57,25.84,7.97
5.88,55.80,58.33,3.55,26.37,7.98
6.00,56.14,58.73,3.74,26.68,7.90
6.12,56.23,58.90,3.39,26.74,7.79
6.23,55.31,58.12,3.58,26.73,7.75
6.35,56.20,59.06,3.35,26.73,7.77
6.46,55.66,58.65,3.85,26.99,7.78
6.58,55.15,58.28,3.94,26.82,7.76
6.69,53.78,57.10,3.86,26.92,7.94
6.81,53.78,57.21,4.24,27.10,8.18
6.92,55.04,58.50,3.85,27.59,8.44
7.04,55.35,58.89,4.35,27.55,8.47
7.15,54.59,58.25,3.88,27.88,8.65
7.27,55.29,58.96,3.62,28.53,8.70
7.38,55.21,58.91,4.31,29.00,8.78
7.50,53.57,57.36,4.04,29.31,8.81
7.62,54.17,57.86,3.97,29.95,8.85
7.73,56.32,59.77,3.81,30.96,8.90
7.85,54.86,58.22,3.36,31.59,9.04
7.96,54.41,57.55,3.58,33.06,9.37
8.08,55.46,58.24,3.07,35.09,9.79

