@relation 'haro29'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.16,10.83,10.94,7.19,3.77,1.07
0.31,18.73,18.86,5.11,6.62,1.81
0.47,24.67,24.82,5.83,8.69,2.18
0.63,27.62,27.80,3.99,9.48,2.09
0.79,30.05,30.27,4.00,10.13,1.93
0.94,32.87,33.12,3.49,10.19,1.82
1.10,29.87,30.20,3.43,9.31,1.65
1.26,29.37,29.77,3.98,9.59,1.60
1.42,30.93,31.38,4.12,9.44,1.61
1.57,30.56,31.10,3.55,8.87,1.68
1.73,33.00,33.59,4.20,9.49,1.98
1.89,35.21,35.86,3.99,9.58,0.00
2.05,32.88,33.71,4.22,9.89,0.00
2.20,30.95,32.00,4.34,9.55,0.00
2.36,32.60,33.79,4.41,9.11,0.00
2.52,32.80,34.21,4.27,8.88,0.00
2.67,32.66,34.34,4.62,8.41,0.00
2.83,33.20,35.16,4.12,9.00,0.00
2.99,30.05,32.58,4.41,9.79,0.00
3.15,30.74,33.61,4.30,9.01,0.00
3.30,32.23,35.39,4.27,8.57,0.00
3.46,35.44,38.72,3.91,8.48,0.00
3.62,40.25,43.49,4.37,8.29,0.00
3.78,35.81,39.76,5.63,8.03,0.00
3.93,29.01,34.08,4.48,7.36,0.00
4.09,29.40,34.63,3.69,7.78,0.00
4.25,28.02,33.55,4.47,8.35,0.00
4.41,28.21,33.62,4.57,9.41,0.00
4.56,30.74,35.49,5.48,11.45,0.00
4.72,27.53,32.23,5.02,11.41,0.00
4.88,30.25,33.89,4.47,10.64,0.00
5.03,27.54,30.55,4.63,12.00,0.00

