@relation 'DDO154'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.14,5.77,6.20,2.59,1.31,1.00
0.29,10.98,11.44,2.43,2.48,1.77
0.43,14.65,15.17,2.15,3.85,2.32
0.57,16.02,16.65,3.09,4.89,2.81
0.72,19.01,19.67,2.62,4.66,3.31
0.86,21.58,22.27,2.61,5.47,3.52
1.00,24.06,24.77,2.34,6.20,3.57
1.15,24.68,25.46,2.97,7.52,3.54
1.29,26.55,27.35,5.39,7.89,3.49
1.44,29.44,30.22,6.27,7.97,3.47
1.58,31.67,32.45,6.34,9.76,3.49
1.72,33.67,34.45,7.09,10.33,3.47
1.87,34.35,35.16,7.31,9.99,3.41
2.01,35.06,35.90,6.57,10.20,3.32
2.15,36.08,36.93,6.35,10.71,3.11
2.30,36.16,37.04,5.53,11.03,2.96
2.44,37.32,38.21,5.24,11.85,2.86
2.58,38.39,39.29,4.96,11.84,2.78
2.73,39.80,40.70,4.85,12.43,2.79
2.87,40.48,41.40,4.81,12.85,2.65
3.01,41.13,42.07,4.33,13.11,2.55
3.16,42.01,42.96,4.13,13.40,2.78
3.30,42.80,43.77,3.78,13.66,2.97
3.44,43.19,44.19,3.37,14.22,3.04
3.59,43.91,44.93,3.41,14.55,3.12
3.73,44.44,45.49,3.37,14.77,3.01
3.87,45.02,46.10,3.43,15.03,2.88
4.02,45.79,46.90,3.71,15.00,2.62
4.16,46.22,47.37,3.65,14.73,2.33
4.31,46.81,48.00,4.18,14.66,2.15
4.45,47.13,48.36,4.72,15.32,2.21
4.59,46.73,48.03,4.55,15.68,2.53
4.74,46.98,48.33,4.53,15.82,3.11
4.88,46.54,47.96,4.63,15.75,3.39
5.02,45.47,46.98,4.68,15.54,3.51
5.17,47.11,48.62,4.81,15.51,3.55
5.31,46.96,48.53,4.71,15.53,3.59
5.45,45.65,47.31,5.02,15.30,3.43
5.60,44.21,45.97,5.16,15.40,3.13
5.74,44.21,46.00,4.97,15.56,3.13
5.88,44.63,46.42,5.49,15.44,3.39
6.03,45.90,47.65,5.25,15.51,2.31
6.17,44.66,46.45,4.78,15.72,2.52
6.31,44.70,46.46,5.74,16.09,2.33
6.46,45.64,47.32,5.77,16.22,2.14
6.60,44.01,45.67,6.18,16.33,2.59
6.74,43.69,45.26,5.95,16.79,2.60
6.89,45.49,46.88,5.41,17.24,3.03
7.03,46.04,47.26,5.58,18.21,3.45
7.18,44.67,45.75,4.76,19.40,3.62
7.32,47.02,47.86,5.66,19.56,3.52
7.46,50.15,50.75,6.54,18.79,3.49
7.61,50.72,51.13,5.12,18.44,3.68
7.75,48.32,48.57,6.92,18.28,0.00
7.89,50.42,50.51,5.61,18.08,0.00
